setting_id,layers,heads,risk_threshold,eta_null,beta_collapse,lambda_penalty,null_value_mode,intervention_mix,phi_mode,score,m_null_separation,jailbreak_m_null,benign_m_null,mean_entropy,mean_spectral_gap,jailbreak_length_delta,benign_length_delta,intervention_asr_proxy,intervention_frr_proxy,suggested_benign_utility_loss,intervention_nonsense_rate
s011,5,all,0.26,1.5,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.887314722512871,0.018935277487128935,0.02840462337755602,0.009469345890427089,2.233605649826738,0.8593233942519873,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s003,5,all,0.26,1.5,2.0,0.15,calibrated_refusal,0.35,positive_logits,-0.8875524313173059,0.018697568682694156,0.029075314416905407,0.010377745734211253,2.2652214297365085,0.8585325138798604,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s023,5,all,0.34,1.5,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8876659583097632,0.01858404169023673,0.0274678392382962,0.00888379754805947,2.2753165238536894,0.8594951652921736,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s005,5,all,0.26,1.5,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8877568376001089,0.01849316239989109,0.027937326499023824,0.009444164099132735,2.212059005551661,0.8589574793974558,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s015,5,all,0.34,1.5,2.0,0.15,calibrated_refusal,0.35,positive_logits,-0.8882843005198118,0.017965699480188176,0.027368485624573797,0.009402786144385623,2.295880558745315,0.8587778418635329,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s033,5,all,0.42,1.5,2.0,0.15,calibrated_refusal,0.35,positive_logits,-0.8883459071774732,0.017904092822526824,0.026846446110450905,0.00894235328792408,2.327122254898616,0.859367519345445,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s017,5,all,0.34,1.5,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8887084112346755,0.017541588765324474,0.026459851018483842,0.008918262253159368,2.253517341140347,0.8590570874124145,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s035,5,all,0.42,1.5,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8888976693651018,0.017352330634898216,0.02622069835354155,0.008868367718643336,2.298554096060495,0.859756628361841,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s029,5,all,0.42,1.5,2.5,0.15,calibrated_refusal,0.35,positive_logits,-0.8905902741506531,0.01565972584934696,0.024503404877801175,0.008843679028454213,2.2833411765750498,0.8593193152143309,-10.7,-9.0,0.0,0.0,0.8333333333333334,0.5625
s010,5,all,0.26,1.5,2.0,0.15,calibrated_refusal,0.55,positive_logits,-0.9079674755611993,0.029532524438800778,0.04544484374207709,0.015912319303276315,2.184070027792283,0.8593585731384034,-9.7,-9.0,0.0,0.0,0.8333333333333334,0.625
s022,5,all,0.34,1.5,2.0,0.15,calibrated_refusal,0.55,positive_logits,-0.9083730387764061,0.029126961223593976,0.04349081128537164,0.014363850061777662,2.2349825809554504,0.8597476355886707,-9.7,-9.0,0.0,0.0,0.8333333333333334,0.625
s012,5,all,0.26,1.5,2.5,0.15,calibrated_refusal,0.55,positive_logits,-0.9086001414669961,0.028899858533003947,0.043780259783715796,0.014880401250711847,2.117894248047378,0.860336269174392,-10.9,-9.0,0.0,0.0,0.8333333333333334,0.625
s004,5,all,0.26,1.5,2.0,0.15,calibrated_refusal,0.55,positive_logits,-0.9088233247897824,0.028676675210217537,0.04498456195562017,0.016307886745402636,2.1605737882103617,0.8588426552402476,-9.7,-9.0,0.0,0.0,0.8333333333333334,0.625
s024,5,all,0.34,1.5,2.5,0.15,calibrated_refusal,0.55,positive_logits,-0.9091407857929227,0.02835921420707737,0.04231946802024111,0.013960253813163742,2.187290355679579,0.8605902087098608,-10.9,-9.0,0.0,0.0,0.8333333333333334,0.625
s006,5,all,0.26,1.5,2.5,0.15,calibrated_refusal,0.55,positive_logits,-0.9092806320151605,0.02821936798483953,0.04306019784903617,0.014840829864196636,2.0831900329794735,0.8597652037472775,-10.9,-9.0,0.0,0.0,0.8333333333333334,0.625
s018,5,all,0.34,1.5,2.5,0.15,calibrated_refusal,0.55,positive_logits,-0.9107418635428073,0.02675813645719269,0.04077254909723149,0.014014412640038802,2.1528362681080275,0.859895068841676,-10.9,-9.0,0.0,0.0,0.8333333333333334,0.625
s036,5,all,0.42,1.5,2.5,0.15,calibrated_refusal,0.55,positive_logits,-0.9110173634594556,0.026482636540544342,0.04041864341335054,0.013936006872806198,2.225707805909527,0.860977300714391,-10.9,-9.0,0.0,0.0,0.8333333333333334,0.625
s030,5,all,0.42,1.5,2.5,0.15,calibrated_refusal,0.55,positive_logits,-0.9135962812370614,0.023903718762938626,0.03780092917747326,0.013897210414534634,2.2027424753954015,0.8602644116617739,-10.9,-9.0,0.0,0.0,0.8333333333333334,0.625
