risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.18,20.0,30.0,0.1,1.0,4.0,0.0,0.0,0.25,1.0,1.0,1.0,1.0,0.6875,0.3130297760059171,1.0
surface,0.18,20.0,30.0,0.25,1.0,2.5,0.0,0.0,0.25,1.0,1.0,1.0,1.0,0.6875,0.3123081550002859,0.9999999999999999
surface,0.18,20.0,30.0,0.25,1.0,4.0,0.0,0.0,0.25,1.0,1.0,1.0,1.0,0.6875,0.313763673221047,1.0
surface,0.18,32.0,8.0,0.0,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9969045885618864,0.9999999999999997
surface,0.18,32.0,8.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9992393603707668,1.0
surface,0.18,32.0,8.0,0.1,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9969048948022554,0.9999999999999997
surface,0.18,32.0,8.0,0.1,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9992393722840436,1.0
surface,0.18,32.0,8.0,0.25,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9969053484371555,0.9999999999999997
surface,0.18,32.0,8.0,0.25,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9992393898690353,1.0
surface,0.18,32.0,18.0,0.0,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6823704121946689,1.0
surface,0.18,32.0,18.0,0.0,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7099109845155701,1.0
surface,0.18,32.0,18.0,0.1,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6828896081103518,1.0
surface,0.18,32.0,18.0,0.1,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7103852446097889,1.0
