risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,normalize_hidden,benign_collapse,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.1,8.0,18.0,0.1,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.6399317554648366,0.9638884816443062
surface,0.1,8.0,18.0,0.1,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7036012865387746,0.9861901216583657
surface,0.1,8.0,18.0,0.25,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.6413207756929756,0.9643676826499624
surface,0.1,8.0,18.0,0.25,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7047635262252036,0.9865099358370726
surface,0.1,8.0,30.0,0.0,1.0,2.5,0.0,0.0,0,0.7857142857142857,0.5,1.0,1.0,1.0,0.9583333333333334,0.261904761904762,0.5592598056410597,0.9395476795745741
surface,0.1,8.0,30.0,0.0,1.0,4.0,0.0,0.0,0,0.7857142857142857,0.5,1.0,1.0,1.0,1.0,0.3035714285714286,0.5958118136787622,0.9623344668539767
surface,0.1,8.0,30.0,0.1,1.0,2.5,0.0,0.0,0,0.7857142857142857,0.5,1.0,1.0,1.0,0.9583333333333334,0.261904761904762,0.5600368054441176,0.9399102791456557
surface,0.1,8.0,30.0,0.1,1.0,4.0,0.0,0.0,0,0.7857142857142857,0.5,1.0,1.0,1.0,1.0,0.3035714285714286,0.5965718507992173,0.9627478917815719
surface,0.1,8.0,30.0,0.25,1.0,2.5,0.0,0.0,0,0.7857142857142857,0.5,1.0,1.0,1.0,0.9583333333333334,0.261904761904762,0.5611976244158585,0.9404539558012592
surface,0.1,8.0,30.0,0.25,1.0,4.0,0.0,0.0,0,0.7857142857142857,0.5,1.0,1.0,1.0,1.0,0.3035714285714286,0.5977130182832068,0.9633634395619516
surface,0.1,12.0,8.0,0.0,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9576206401779248,0.9989332646401315
surface,0.1,12.0,8.0,0.0,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9862150821227968,0.9999405312659962
surface,0.1,12.0,8.0,0.1,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9576768292545385,0.9989475742940733
surface,0.1,12.0,8.0,0.1,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9862206148939986,0.9999416529076627
surface,0.1,12.0,8.0,0.25,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9577598518022092,0.9989686789445774
surface,0.1,12.0,8.0,0.25,1.0,4.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9862287450182147,0.9999432958230893
surface,0.1,12.0,18.0,0.0,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7770702612763069,0.9963426955478142
surface,0.1,12.0,18.0,0.0,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.800972366207819,0.9995909164228206
surface,0.1,12.0,18.0,0.1,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7773070775362206,0.9963881329002086
surface,0.1,12.0,18.0,0.1,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.8010437844166394,0.9995981317092305
surface,0.1,12.0,18.0,0.25,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7776584252887585,0.9964552679191946
surface,0.1,12.0,18.0,0.25,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.8011490958073826,0.9996087176037691
surface,0.1,12.0,30.0,0.0,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.6717848523502254,0.9871310521812919
surface,0.1,12.0,30.0,0.0,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7138838876771454,0.997014786849414
surface,0.1,12.0,30.0,0.1,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.6723477316072624,0.9872697853961651
surface,0.1,12.0,30.0,0.1,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7143901764442474,0.9970623155658872
surface,0.1,12.0,30.0,0.25,1.0,2.5,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.6731893544651204,0.9874754372057272
surface,0.1,12.0,30.0,0.25,1.0,4.0,0.0,0.0,0,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,0.035714285714285726,0.7151429576308895,0.9971322322346383
surface,0.1,20.0,8.0,0.0,1.0,2.5,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9988206166843249,0.9999978722142161
